,phrase,label,sentiment,subjectivity,language,count
Wetter-Experte,Wetter-Experte,ORG,-0.35,0.0,de,2
Weltverbandes,Weltverbandes,ORG,0.0,0.0,de,2
SWR,SWR,ORG,0.35,0.0,de,2
Fahr-und Schlittentechnik,Fahr-und Schlittentechnik,ORG,0.0,0.0,de,2
Deutsche Eishockey Liga,Deutsche Eishockey Liga,ORG,-0.35,0.0,de,2
EFC Gehörlos,EFC Gehörlos,ORG,0.0,0.0,de,2
REUTERS,REUTERS,ORG,-0.35,0.0,de,2
The Weather Channel,The Weather Channel,ORG,0.0,0.0,de,2
Bundeskanzlerin,Bundeskanzlerin,ORG,0.0,0.0,de,2
FC Liverpool,FC Liverpool,ORG,0.7,0.0,de,2
Bildungsstätte Anne Frank,Bildungsstätte Anne Frank,ORG,-1.0,0.0,de,2
Guterres,Guterres,ORG,0.0,0.0,de,2
Kita unserer Jungs,Kita unserer Jungs,ORG,0.0,0.0,de,2
UN-Vertreter,UN-Vertreter,ORG,0.7,0.0,de,2
COP,COP,ORG,0.0,0.0,de,2
Märzwetter in,Märzwetter in,ORG,0.0,0.5,de,2
Paris-Moment,Paris-Moment,ORG,0.35,0.0,de,2
Swan Lake Hot Spring International Slow Town,Swan Lake Hot Spring International Slow Town,ORG,0.0,0.0,de,2
Fitch,Fitch,ORG,0.35,0.0,de,2
AAA,AAA,ORG,0.35,0.0,de,2
Meteorol,Meteorol,ORG,0.0,0.0,de,2
HÃ¤rtefallprogramm,HÃ¤rtefallprogramm,ORG,0.575,0.0,de,2
Umweltkommission,Umweltkommission,ORG,0.0,0.0,de,2
Deutsche Wette,Deutsche Wette,ORG,0.5,0.0,de,2
TU Darmstadt,TU Darmstadt,ORG,0.0,0.0,de,2
Schließl,Schließl,ORG,0.0,0.0,de,2
indische Armee,indische Armee,ORG,0.0,0.0,de,2
De…,De…,ORG,-0.35,0.0,de,2
T-Shirt,T-Shirt,ORG,0.0,0.0,de,2
FC Köln,FC Köln,ORG,0.0,0.0,de,2
PDC,PDC,ORG,0.0,0.0,de,2
Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,ORG,0.0,0.0,de,2
Agrarministerium,Agrarministerium,ORG,0.0,0.0,de,2
Jupiter-Sonde,Jupiter-Sonde,ORG,0.0,0.0,de,2
Vereinigung der bayerischen Wirtschaft,Vereinigung der bayerischen Wirtschaft,ORG,0.0,0.0,de,2
IMAGO,IMAGO,ORG,0.09999999999999998,0.25,de,2
Düren,Düren,ORG,0.0,0.0,de,2
HIER,HIER,ORG,-0.8,0.125,de,2
VergleichDurchschnitt,VergleichDurchschnitt,ORG,0.0,0.0,de,2
Transylvanosaurus,Transylvanosaurus,ORG,0.0,0.0,de,2
Bibberwetter,Bibberwetter,ORG,0.0,0.5,de,2
FDP-Chef,FDP-Chef,ORG,1.0,0.0,de,2
Deutschland Ã¼bt,Deutschland Ã¼bt,ORG,1.0,0.0,de,2
Landesbank Hessen-Thüringen,Landesbank Hessen-Thüringen,ORG,0.0,0.0,de,2
Wirtschaftsstandorts Bayern,Wirtschaftsstandorts Bayern,ORG,0.0,0.0,de,2
vbw,vbw,ORG,0.0,0.0,de,2
US-Spitzenökonomin,US-Spitzenökonomin,ORG,-1.0,0.0,de,2
Jugend-Kajakgruppe,Jugend-Kajakgruppe,ORG,0.0,0.0,de,2
KI-Revolution,KI-Revolution,ORG,-1.0,0.0,de,2
