,summary,Herbst,Winter,Sommer,Frühling,word
bremen winter,2.910162475679835,-0.3661288246500335,0.3282387284969309,-0.341312330148892,-0.36061597502101006,bremen winter
winter zweiter,2.7518278849805498,-0.31018528777873344,0.2899306479163589,-0.2853687932775921,-0.3046724381497102,winter zweiter
zweiter eishalle,2.979450973686222,-0.38965895798385675,0.3433148961781143,-0.3648424634827152,-0.38414610835483326,zweiter eishalle
eishalle verzicht,2.651164560665318,-0.2729189117783986,0.2622995812037456,-0.24810241727725726,-0.26740606214937535,eishalle verzicht
Vielleicht,2.880196217729258,-0.35577833444133916,0.32141951501531246,-0.3309618399401979,-0.3502654848123159,Vielleicht
vielleicht winter,2.166203136349451,-0.07089583973451251,0.07420623949701445,-0.046079345233371274,-0.06538299010548927,vielleicht winter
eisig,2.1552213572944137,-0.06581334774094062,0.0684249797702316,-0.04099685323979923,-0.060300498111917344,eisig
winter eisig,2.1552213572944137,-0.06581334774094062,0.0684249797702316,-0.04099685323979923,-0.060300498111917344,winter eisig
Eislaufen,2.1462022913271257,-0.06161981558913835,0.06360725936088245,-0.036803321087996874,-0.056106965960115,Eislaufen
eisig eislaufen,2.1462022913271257,-0.06161981558913835,0.06360725936088245,-0.036803321087996874,-0.056106965960115,eisig eislaufen
+3726,2.1301146360771455,-0.05409570948594523,0.054853234287891205,-0.02927921498480387,-0.04858285985692209,+3726
eislaufen +3726,2.1301146360771455,-0.05409570948594523,0.054853234287891205,-0.02927921498480387,-0.04858285985692209,eislaufen +3726
+3726 chars,2.126699706043151,-0.052491255783191824,0.05296796694815702,-0.02767476128205055,-0.046978406154168616,+3726 chars
stirbt,2.7029671989349735,-0.292270043619791,0.27687109168684204,-0.2674535491186496,-0.2867571939907677,stirbt
fahrer sterb,2.7029671989349735,-0.292270043619791,0.27687109168684204,-0.2674535491186496,-0.2867571939907677,fahrer sterb
Glatteis-Unfall,3.398202629364027,-0.5211665648795304,0.4179059530420384,-0.49635007037838896,-0.5156537152505073,Glatteis-Unfall
